name,seq,Plod,Condtion,Answer,Corr,Time
Maria_27_07_2022,6,Noni,17,1,1,56729
Maria_27_07_2022,6,Noni,17,1,1,56729
Maria_27_07_2022,6,Noni,17,2,7,56729
Maria_27_07_2022,6,Noni,17,3,1,56729
Maria_27_07_2022,6,Noni,17,1,1,56729
Maria_27_07_2022,6,Noni,17,2,7,56729
Maria_27_07_2022,6,Noni,17,3,7,56729
Maria_27_07_2022,6,Sapota,14,2,7,57567
Maria_27_07_2022,6,Sapota,14,1,1,57567
Maria_27_07_2022,6,Sapota,14,1,1,57567
Maria_27_07_2022,6,Sapota,14,1,1,57567
Maria_27_07_2022,6,Sapota,14,1,1,57567
Maria_27_07_2022,6,Sapota,14,5,7,57567
Maria_27_07_2022,6,Sapota,14,6,7,57567
Maria_27_07_2022,6,Tamanid,15,2,7,44968
Maria_27_07_2022,6,Tamanid,15,1,1,44968
Maria_27_07_2022,6,Tamanid,15,5,7,44968
Maria_27_07_2022,6,Tamanid,15,6,1,44968
Maria_27_07_2022,6,Tamanid,15,7,7,44968
Maria_27_07_2022,6,Tamanid,15,1,1,44968
Maria_27_07_2022,6,Tamanid,15,1,1,44968
Maria_27_07_2022,6,Ake,14,1,1,40191
Maria_27_07_2022,6,Ake,14,2,1,40191
Maria_27_07_2022,6,Ake,14,3,1,40191
Maria_27_07_2022,6,Ake,14,1,1,40191
Maria_27_07_2022,6,Ake,14,2,7,40191
Maria_27_07_2022,6,Ake,14,4,7,40191
Maria_27_07_2022,6,Ake,14,6,7,40191
Maria_27_07_2022,6,Finger,15,1,1,73273
Maria_27_07_2022,6,Finger,15,2,7,73273
Maria_27_07_2022,6,Finger,15,3,7,73273
Maria_27_07_2022,6,Finger,15,5,1,73273
Maria_27_07_2022,6,Finger,15,1,1,73273
Maria_27_07_2022,6,Finger,15,5,1,73273
Maria_27_07_2022,6,Finger,15,1,7,73273
Anastasia_27_07_2022,7,Ackee,17,3,1,47561
Anastasia_27_07_2022,7,Ackee,17,6,7,47561
Anastasia_27_07_2022,7,Ackee,17,1,1,47561
Anastasia_27_07_2022,7,Ackee,17,2,7,47561
Anastasia_27_07_2022,7,Ackee,17,1,1,47561
Anastasia_27_07_2022,7,Ackee,17,1,1,47561
Anastasia_27_07_2022,7,Ackee,17,7,7,47561
Anastasia_27_07_2022,7,Gac,16,1,7,56400
Anastasia_27_07_2022,7,Gac,16,2,7,56400
Anastasia_27_07_2022,7,Gac,16,4,7,56400
Anastasia_27_07_2022,7,Gac,16,7,1,56400
Anastasia_27_07_2022,7,Gac,16,2,1,56400
Anastasia_27_07_2022,7,Gac,16,2,1,56400
Anastasia_27_07_2022,7,Gac,16,2,1,56400
Anastasia_27_07_2022,7,ZF,16,7,7,25767
Anastasia_27_07_2022,7,ZF,16,1,1,25767
Anastasia_27_07_2022,7,ZF,16,7,7,25767
Anastasia_27_07_2022,7,ZF,16,1,1,25767
Anastasia_27_07_2022,7,ZF,16,1,1,25767
Anastasia_27_07_2022,7,ZF,16,7,7,25767
Anastasia_27_07_2022,7,ZF,16,1,1,25767
Anastasia_27_07_2022,7,Noni,17,5,1,32160
Anastasia_27_07_2022,7,Noni,17,1,1,32160
Anastasia_27_07_2022,7,Noni,17,6,7,32160
Anastasia_27_07_2022,7,Noni,17,3,1,32160
Anastasia_27_07_2022,7,Noni,17,1,1,32160
Anastasia_27_07_2022,7,Noni,17,6,7,32160
Anastasia_27_07_2022,7,Noni,17,6,7,32160
Anastasia_27_07_2022,7,Sapota,14,7,7,42120
Anastasia_27_07_2022,7,Sapota,14,5,1,42120
Anastasia_27_07_2022,7,Sapota,14,1,1,42120
Anastasia_27_07_2022,7,Sapota,14,1,1,42120
Anastasia_27_07_2022,7,Sapota,14,1,1,42120
Anastasia_27_07_2022,7,Sapota,14,5,7,42120
Anastasia_27_07_2022,7,Sapota,14,7,7,42120
Anastasia_27_07_2022,7,Tamanid,15,2,7,30312
Anastasia_27_07_2022,7,Tamanid,15,1,1,30312
Anastasia_27_07_2022,7,Tamanid,15,1,7,30312
Anastasia_27_07_2022,7,Tamanid,15,7,1,30312
Anastasia_27_07_2022,7,Tamanid,15,7,7,30312
Anastasia_27_07_2022,7,Tamanid,15,1,1,30312
Anastasia_27_07_2022,7,Tamanid,15,1,1,30312
Anastasia_27_07_2022,7,Ake,14,2,1,60624
Anastasia_27_07_2022,7,Ake,14,2,1,60624
Anastasia_27_07_2022,7,Ake,14,1,1,60624
Anastasia_27_07_2022,7,Ake,14,1,1,60624
Anastasia_27_07_2022,7,Ake,14,3,7,60624
Anastasia_27_07_2022,7,Ake,14,1,7,60624
Anastasia_27_07_2022,7,Ake,14,7,7,60624
Anastasia_27_07_2022,7,Finger,15,1,1,40392
Anastasia_27_07_2022,7,Finger,15,7,7,40392
Anastasia_27_07_2022,7,Finger,15,7,7,40392
Anastasia_27_07_2022,7,Finger,15,1,1,40392
Anastasia_27_07_2022,7,Finger,15,1,1,40392
Anastasia_27_07_2022,7,Finger,15,1,1,40392
Anastasia_27_07_2022,7,Finger,15,7,7,40392
Igor_27_07_2022,8,Ackee,14,6,1,40368
Igor_27_07_2022,8,Ackee,14,6,7,40368
Igor_27_07_2022,8,Ackee,14,1,1,40368
Igor_27_07_2022,8,Ackee,14,3,7,40368
Igor_27_07_2022,8,Ackee,14,2,1,40368
Igor_27_07_2022,8,Ackee,14,1,1,40368
Igor_27_07_2022,8,Ackee,14,4,7,40368
Igor_27_07_2022,8,Gac,17,7,7,36567
Igor_27_07_2022,8,Gac,17,1,7,36567
Igor_27_07_2022,8,Gac,17,3,7,36567
Igor_27_07_2022,8,Gac,17,7,1,36567
Igor_27_07_2022,8,Gac,17,1,1,36567
Igor_27_07_2022,8,Gac,17,1,1,36567
Igor_27_07_2022,8,Gac,17,3,1,36567
Igor_27_07_2022,8,ZF,17,1,7,36992
Igor_27_07_2022,8,ZF,17,3,1,36992
Igor_27_07_2022,8,ZF,17,3,7,36992
Igor_27_07_2022,8,ZF,17,1,1,36992
Igor_27_07_2022,8,ZF,17,1,1,36992
Igor_27_07_2022,8,ZF,17,4,7,36992
Igor_27_07_2022,8,ZF,17,5,1,36992
Igor_27_07_2022,8,Noni,14,2,1,33848
Igor_27_07_2022,8,Noni,14,1,1,33848
Igor_27_07_2022,8,Noni,14,4,7,33848
Igor_27_07_2022,8,Noni,14,3,1,33848
Igor_27_07_2022,8,Noni,14,2,1,33848
Igor_27_07_2022,8,Noni,14,5,7,33848
Igor_27_07_2022,8,Noni,14,1,7,33848
Igor_27_07_2022,8,Sapota,15,1,7,57216
Igor_27_07_2022,8,Sapota,15,3,1,57216
Igor_27_07_2022,8,Sapota,15,2,1,57216
Igor_27_07_2022,8,Sapota,15,4,1,57216
Igor_27_07_2022,8,Sapota,15,2,1,57216
Igor_27_07_2022,8,Sapota,15,1,7,57216
Igor_27_07_2022,8,Sapota,15,6,7,57216
Igor_27_07_2022,8,Tamanid,16,3,7,53832
Igor_27_07_2022,8,Tamanid,16,1,1,53832
Igor_27_07_2022,8,Tamanid,16,2,7,53832
Igor_27_07_2022,8,Tamanid,16,7,1,53832
Igor_27_07_2022,8,Tamanid,16,4,7,53832
Igor_27_07_2022,8,Tamanid,16,7,1,53832
Igor_27_07_2022,8,Tamanid,16,2,1,53832
Igor_27_07_2022,8,Ake,15,7,1,31056
Igor_27_07_2022,8,Ake,15,1,1,31056
Igor_27_07_2022,8,Ake,15,1,1,31056
Igor_27_07_2022,8,Ake,15,1,1,31056
Igor_27_07_2022,8,Ake,15,7,7,31056
Igor_27_07_2022,8,Ake,15,2,7,31056
Igor_27_07_2022,8,Ake,15,5,7,31056
Igor_27_07_2022,8,Finger,16,5,1,46543
Igor_27_07_2022,8,Finger,16,4,7,46543
Igor_27_07_2022,8,Finger,16,5,7,46543
Igor_27_07_2022,8,Finger,16,1,1,46543
Igor_27_07_2022,8,Finger,16,2,1,46543
Igor_27_07_2022,8,Finger,16,2,1,46543
Igor_27_07_2022,8,Finger,16,6,7,46543
Olga_27_07_2022,9,Ackee,14,2,1,26759
Olga_27_07_2022,9,Ackee,14,5,7,26759
Olga_27_07_2022,9,Ackee,14,2,1,26759
Olga_27_07_2022,9,Ackee,14,4,7,26759
Olga_27_07_2022,9,Ackee,14,1,1,26759
Olga_27_07_2022,9,Ackee,14,1,1,26759
