pic,value,key,,,,,,,,,
Gac_1_seq_14,10,15,,,,,,,,,
Noni_1_seq_14,4,15,,,,,,,,,
Sapota_1_seq_14,10,15,,,,,,,,,
Tamanid_1_seq_14,4,15,,,,,,,,,
ZF_1_seq_14,10,15,,,,,,,,,
Ackee_1_seq_16,12,15,,,,,,,,,
Ake_1_seq_16,17,15,,,,,,,,,
Finger_1_seq_16,12,15,,,,,,,,,
Gac_1_seq_16,10,15,,,,,,,,,
Noni_1_seq_16,4,15,,,,,,,,,
Sapota_1_seq_16,10,15,,,,,,,,,
Tamanid_1_seq_16,4,15,,,,,,,,,
ZF_1_seq_16,10,15,,,,,,,,,
Ackee_1_seq_18,12,15,,,,,,,,,
Ake_1_seq_18,17,15,,,,,,,,,
Finger_1_seq_18,12,15,,,,,,,,,
Gac_1_seq_18,10,15,,,,,,,,,
Noni_1_seq_18,4,15,,,,,,,,,
Sapota_1_seq_18,10,15,,,,,,,,,
Tamanid_1_seq_18,4,15,,,,,,,,,
ZF_1_seq_18,10,15,,,,,,,,,
Ackee_1_seq_20,12,15,,,,,,,,,
Ake_1_seq_20,17,15,,,,,,,,,
Finger_1_seq_20,12,15,,,,,,,,,
Gac_1_seq_20,10,15,,,,,,,,,
Noni_1_seq_20,4,15,,,,,,,,,
Sapota_1_seq_20,10,15,,,,,,,,,
Tamanid_1_seq_20,4,15,,,,,,,,,
ZF_1_seq_20,10,15,,,,,,,,,
Ackee_1_seq_22,12,15,,,,,,,,,
Ake_1_seq_22,17,15,,,,,,,,,
Finger_1_seq_22,12,15,,,,,,,,,
Gac_1_seq_22,10,15,,,,,,,,,
Noni_1_seq_22,4,15,,,,,,,,,
Sapota_1_seq_22,10,15,,,,,,,,,
Tamanid_1_seq_22,4,15,,,,,,,,,
ZF_1_seq_22,10,15,,,,,,,,,
Ackee_1_seq_24,12,15,,,,,,,,,
Ake_1_seq_24,17,15,,,,,,,,,
Finger_1_seq_24,12,15,,,,,,,,,
Gac_1_seq_24,10,15,,,,,,,,,
Noni_1_seq_24,4,15,,,,,,,,,
Sapota_1_seq_24,10,15,,,,,,,,,
Tamanid_1_seq_24,4,15,,,,,,,,,
ZF_1_seq_24,10,15,,,,,,,,,
Ackee_1_seq_26,12,15,,,,,,,,,
Ake_1_seq_26,17,15,,,,,,,,,
Finger_1_seq_26,12,15,,,,,,,,,
Gac_1_seq_26,10,15,,,,,,,,,
Noni_1_seq_26,4,15,,,,,,,,,
Sapota_1_seq_26,10,15,,,,,,,,,
Tamanid_1_seq_26,4,15,,,,,,,,,
ZF_1_seq_26,10,15,,,,,,,,,
Ackee_1_seq_28,12,15,,,,,,,,,
Ake_1_seq_28,17,15,,,,,,,,,
Finger_1_seq_28,12,15,,,,,,,,,
Gac_1_seq_28,10,15,,,,,,,,,
Noni_1_seq_28,4,15,,,,,,,,,
Sapota_1_seq_28,10,15,,,,,,,,,
Tamanid_1_seq_28,4,15,,,,,,,,,
ZF_1_seq_28,10,15,,,,,,,,,
Ackee_1_seq_30,12,15,,,,,,,,,
Ake_1_seq_30,17,15,,,,,,,,,
Finger_1_seq_30,12,15,,,,,,,,,
Gac_1_seq_30,10,15,,,,,,,,,
Noni_1_seq_30,4,15,,,,,,,,,
Sapota_1_seq_30,10,15,,,,,,,,,
Tamanid_1_seq_30,4,15,,,,,,,,,
ZF_1_seq_30,10,15,,,,,,,,,
Ackee_1_seq_32,12,15,,,,,,,,,
Ake_1_seq_32,17,15,,,,,,,,,
Finger_1_seq_32,12,15,,,,,,,,,
Gac_1_seq_32,10,15,,,,,,,,,
Noni_1_seq_32,4,15,,,,,,,,,
Sapota_1_seq_32,10,15,,,,,,,,,
Tamanid_1_seq_32,4,15,,,,,,,,,
ZF_1_seq_32,10,15,,,,,,,,,
Ackee_1_seq_1,26,16,,,,,,,,,
Ake_1_seq_1,19,16,,,,,,,,,
Finger_1_seq_1,20,16,,,,,,,,,
Gac_1_seq_1,32,16,,,,,,,,,
Noni_1_seq_1,27,16,,,,,,,,,
Sapota_1_seq_1,19,16,,,,,,,,,
Tamanid_1_seq_1,27,16,,,,,,,,,
ZF_1_seq_1,19,16,,,,,,,,,
Ackee_1_seq_3,26,16,,,,,,,,,
Ake_1_seq_3,19,16,,,,,,,,,
Finger_1_seq_3,20,16,,,,,,,,,
Gac_1_seq_3,32,16,,,,,,,,,
Noni_1_seq_3,27,16,,,,,,,,,
Sapota_1_seq_3,19,16,,,,,,,,,
Tamanid_1_seq_3,27,16,,,,,,,,,
ZF_1_seq_3,19,16,,,,,,,,,
Ackee_1_seq_5,26,16,,,,,,,,,
Ake_1_seq_5,19,16,,,,,,,,,
Finger_1_seq_5,20,16,,,,,,,,,
Gac_1_seq_5,32,16,,,,,,,,,
Noni_1_seq_5,27,16,,,,,,,,,
Sapota_1_seq_5,19,16,,,,,,,,,
Tamanid_1_seq_5,27,16,,,,,,,,,
ZF_1_seq_5,19,16,,,,,,,,,
Ackee_1_seq_7,26,16,,,,,,,,,
Ake_1_seq_7,19,16,,,,,,,,,
Finger_1_seq_7,20,16,,,,,,,,,
Gac_1_seq_7,32,16,,,,,,,,,
Noni_1_seq_7,27,16,,,,,,,,,
Sapota_1_seq_7,19,16,,,,,,,,,
Tamanid_1_seq_7,27,16,,,,,,,,,
ZF_1_seq_7,19,16,,,,,,,,,
Ackee_1_seq_9,26,16,,,,,,,,,
Ake_1_seq_9,19,16,,,,,,,,,
Finger_1_seq_9,20,16,,,,,,,,,
Gac_1_seq_9,32,16,,,,,,,,,
Noni_1_seq_9,27,16,,,,,,,,,
Sapota_1_seq_9,19,16,,,,,,,,,
Tamanid_1_seq_9,27,16,,,,,,,,,
ZF_1_seq_9,19,16,,,,,,,,,
Ackee_1_seq_11,26,16,,,,,,,,,
Ake_1_seq_11,19,16,,,,,,,,,
Finger_1_seq_11,20,16,,,,,,,,,
Gac_1_seq_11,32,16,,,,,,,,,
Noni_1_seq_11,27,16,,,,,,,,,
Sapota_1_seq_11,19,16,,,,,,,,,
Tamanid_1_seq_11,27,16,,,,,,,,,
ZF_1_seq_11,19,16,,,,,,,,,
Ackee_1_seq_13,26,16,,,,,,,,,
Ake_1_seq_13,19,16,,,,,,,,,
Finger_1_seq_13,20,16,,,,,,,,,
Gac_1_seq_13,32,16,,,,,,,,,
Noni_1_seq_13,27,16,,,,,,,,,
Sapota_1_seq_13,19,16,,,,,,,,,
Tamanid_1_seq_13,27,16,,,,,,,,,
ZF_1_seq_13,19,16,,,,,,,,,
