,Session_Name_,Trial_Index_,Trial_Recycled_,block_number,pic_1,pic_type1_1,expected,pic_search_1,TRIAL_INDEX,RESPONSE,KEYPRESS,RT,DISPLAY_ON_TIME,KEY_RESPONSE_TIME,seq,presenting_type,prop_presentation
12,K280722,13,False,0,Gac_1.jpg,0,q,Gac_1_14.png,13,correct,q,1165,178382.35,179547.41,12,15,14
13,K280722,14,False,0,ZF_1.jpg,0,q,ZF_1_14.png,14,correct,q,835,185496.47,186331.94,12,15,14
14,K280722,15,False,0,Noni_1.jpg,0,w,Noni_1_15.png,15,correct,w,1357,192270.45,193628.15,12,16,15
15,K280722,16,False,0,Finger_1.jpg,0,s,Finger_1_17.png,16,correct,s,1300,199574.68,200875.51,12,14,17
16,K280722,17,False,0,ZF_1.jpg,0,w,ZF_1_15.png,17,correct,w,1048,206819.01,207867.74,12,15,15
17,K280722,18,False,0,Tamanid_1.jpg,0,q,Tamanid_1_14.png,18,correct,q,1110,213813.06,214923.55,12,14,14
18,K280722,19,False,0,Finger_1.jpg,0,q,Finger_1_14.png,19,correct,q,1599,220877.14,222476.79,12,14,14
19,K280722,20,False,0,Sapota_1.jpg,0,s,Sapota_1_17.png,20,correct,s,1049,228451.55,229500.67,12,17,17
20,K280722,21,False,0,Noni_1.jpg,0,a,Noni_1_16.png,21,correct,a,1884,235455.68,237340.55,12,16,16
21,K280722,22,False,0,Ake_1.jpg,0,s,Ake_1_17.png,22,correct,s,2269,243310.23,245580.12,12,17,17
22,K280722,23,False,0,Ackee_1.jpg,0,a,Ackee_1_16.png,23,correct,a,1366,251525.02,252891.51,12,16,16
23,K280722,24,False,0,Gac_1.jpg,0,w,Gac_1_15.png,24,correct,w,1140,258839.28,259980.23,12,15,15
24,K280722,25,False,0,Ackee_1.jpg,0,s,Ackee_1_17.png,25,correct,s,987,265953.43,266941.18,12,16,17
25,K280722,26,False,0,Gac_1.jpg,0,a,Gac_1_16.png,26,correct,a,1173,272887.46,274060.93,12,15,16
26,K280722,27,False,0,ZF_1.jpg,0,a,ZF_1_16.png,27,correct,a,794,280001.64,280795.65,12,15,16
27,K280722,28,False,0,Tamanid_1.jpg,0,w,Tamanid_1_15.png,28,correct,w,2050,286745.55,288795.7,12,14,15
28,K280722,29,False,0,Finger_1.jpg,0,w,Finger_1_15.png,29,correct,w,888,294740.21,295628.78,12,14,15
29,K280722,30,False,0,Sapota_1.jpg,0,q,Sapota_1_14.png,30,correct,q,934,301574.19,302508.48,12,17,14
30,K280722,31,False,0,Noni_1.jpg,0,s,Noni_1_17.png,31,correct,s,737,308458.27,309195.55,12,16,17
31,K280722,32,False,0,Ake_1.jpg,0,q,Ake_1_14.png,32,correct,q,811,315152.11,315963.41,12,17,14
0,Y190922,1,False,0,Gac_1.jpg,0,s,Gac_1_17.png,1,correct,s,3355,68828.08,72183.51,21,15,17
1,Y190922,2,False,0,ZF_1.jpg,0,s,ZF_1_17.png,2,correct,s,2440,78143.46,80583.99,21,15,17
2,Y190922,3,False,0,Ackee_1.jpg,0,q,Ackee_1_14.png,3,correct,q,1917,86538.43,88455.97,21,16,14
3,Y190922,4,False,0,Noni_1.jpg,0,q,Noni_1_14.png,4,correct,q,1588,94403.01,95991.56,21,16,14
4,Y190922,5,False,0,Sapota_1.jpg,0,w,Sapota_1_15.png,5,correct,w,1772,101947.37,103719.76,21,17,15
5,Y190922,6,False,0,Ake_1.jpg,0,w,Ake_1_15.png,6,correct,w,919,109681.85,110600.86,21,17,15
6,Y190922,7,False,0,Tamanid_1.jpg,0,a,Tamanid_1_16.png,7,correct,a,1586,116565.88,118152.5,21,14,16
7,Y190922,8,False,0,Finger_1.jpg,0,a,Finger_1_16.png,8,correct,a,1338,124110.29,125448.41,21,14,16
8,Y190922,9,False,0,Ake_1.jpg,0,a,Ake_1_16.png,9,correct,a,1528,131424.6,132952.88,21,17,16
9,Y190922,10,False,0,Tamanid_1.jpg,0,s,Tamanid_1_17.png,10,correct,s,1275,138908.91,140184.39,21,14,17
10,Y190922,11,False,0,Ackee_1.jpg,0,w,Ackee_1_15.png,11,correct,w,805,146163.18,146969.04,21,16,15
11,Y190922,12,False,0,Sapota_1.jpg,0,a,Sapota_1_16.png,12,correct,a,1651,152917.06,154568.17,21,17,16
12,Y190922,13,False,0,Gac_1.jpg,0,q,Gac_1_14.png,13,correct,q,2270,160521.5,162792.3,21,15,14
13,Y190922,14,False,0,ZF_1.jpg,0,q,ZF_1_14.png,14,correct,q,948,168756.29,169705.07,21,15,14
14,Y190922,15,False,0,Noni_1.jpg,0,w,Noni_1_15.png,15,correct,w,923,175660.31,176583.72,21,16,15
15,Y190922,16,False,0,Finger_1.jpg,0,s,Finger_1_17.png,16,correct,s,2386,182534.37,184920.52,21,14,17
16,Y190922,17,False,0,ZF_1.jpg,0,w,ZF_1_15.png,17,correct,w,1721,190879.25,192600.56,21,15,15
17,Y190922,18,False,0,Tamanid_1.jpg,0,q,Tamanid_1_14.png,18,correct,q,2333,198553.67,200887.38,21,14,14
18,Y190922,19,False,0,Finger_1.jpg,0,q,Finger_1_14.png,19,correct,q,3984,206838.54,210823.35,21,14,14
19,Y190922,20,False,0,Sapota_1.jpg,0,s,Sapota_1_17.png,20,correct,s,2594,216774.35,219368.41,21,17,17
20,Y190922,21,False,0,Noni_1.jpg,0,a,Noni_1_16.png,21,correct,a,2465,225319.32,227784.54,21,16,16
21,Y190922,22,False,0,Ake_1.jpg,0,s,Ake_1_17.png,22,correct,s,2548,233764.22,236312.26,21,17,17
22,Y190922,23,False,0,Ackee_1.jpg,0,a,Ackee_1_16.png,23,correct,a,2198,242289.18,244487.63,21,16,16
23,Y190922,24,False,0,Gac_1.jpg,0,w,Gac_1_15.png,24,correct,w,1542,250433.94,251976.87,21,15,15
24,Y190922,25,False,0,Ackee_1.jpg,0,s,Ackee_1_17.png,25,correct,s,815,257928.3,258743.55,21,16,17
25,Y190922,26,False,0,Gac_1.jpg,0,a,Gac_1_16.png,26,correct,a,1993,264702.25,266696.03,21,15,16
26,Y190922,27,False,0,ZF_1.jpg,0,a,ZF_1_16.png,27,correct,a,1222,272656.93,273879.37,21,15,16
27,Y190922,28,False,0,Tamanid_1.jpg,0,w,Tamanid_1_15.png,28,correct,w,1665,279831.04,281496.11,21,14,15
28,Y190922,29,False,0,Finger_1.jpg,0,w,Finger_1_15.png,29,correct,w,1266,287445.53,288711.92,21,14,15
29,Y190922,30,False,0,Sapota_1.jpg,0,q,Sapota_1_14.png,30,correct,q,1145,294669.75,295815.13,21,17,14
30,Y190922,31,False,0,Noni_1.jpg,0,s,Noni_1_17.png,31,correct,s,2614,301793.86,304408.35,21,16,17
31,Y190922,32,False,0,Ake_1.jpg,0,q,Ake_1_14.png,32,correct,q,1552,310358.87,311911.08,21,17,14
0,S120922,1,False,0,Gac_1.jpg,0,s,Gac_1_17.png,1,correct,s,1331,102719.23,104051.14,23,16,17
1,S120922,2,False,0,ZF_1.jpg,0,s,ZF_1_17.png,2,correct,s,1295,110003.43,111299.34,23,16,17
2,S120922,3,False,0,Ackee_1.jpg,0,q,Ackee_1_14.png,3,correct,q,1431,117277.71,118708.72,23,17,14
3,S120922,4,False,0,Noni_1.jpg,0,q,Noni_1_14.png,4,correct,q,1406,124661.95,126068.12,23,17,14
4,S120922,5,False,0,Sapota_1.jpg,0,w,Sapota_1_15.png,5,correct,w,1300,132016.28,133316.6,23,14,15
5,S120922,6,False,0,Ake_1.jpg,0,w,Ake_1_15.png,6,correct,w,1085,139270.46,140355.87,23,14,15
6,S120922,7,False,0,Tamanid_1.jpg,0,a,Tamanid_1_16.png,7,correct,a,1206,146334.62,147540.66,23,15,16
7,S120922,8,False,0,Finger_1.jpg,0,a,Finger_1_16.png,8,correct,a,1258,153498.78,154756.81,23,15,16
8,S120922,9,False,0,Ake_1.jpg,0,a,Ake_1_16.png,9,correct,a,1268,160702.98,161971.36,23,14,16
9,S120922,10,False,0,Tamanid_1.jpg,0,s,Tamanid_1_17.png,10,correct,s,1287,167917.21,169204.37,23,15,17
10,S120922,11,False,0,Ackee_1.jpg,0,w,Ackee_1_15.png,11,correct,w,2752,175171.39,177923.81,23,17,15
11,S120922,12,False,0,Sapota_1.jpg,0,a,Sapota_1_16.png,12,correct,a,1198,183876.47,185075.05,23,14,16
12,S120922,13,False,0,Gac_1.jpg,0,q,Gac_1_14.png,13,correct,q,791,191020.62,191812.6,23,16,14
13,S120922,14,False,0,ZF_1.jpg,0,q,ZF_1_14.png,14,correct,q,1326,197764.52,199091.37,23,16,14
14,S120922,15,False,0,Noni_1.jpg,0,w,Noni_1_15.png,15,correct,w,1140,205038.83,206179.63,23,17,15
15,S120922,16,False,0,Finger_1.jpg,0,s,Finger_1_17.png,16,correct,s,3033,212122.93,215156.03,23,15,17
16,S120922,17,False,0,ZF_1.jpg,0,w,ZF_1_15.png,17,correct,w,1231,221108.13,222339.4,23,16,15
17,S120922,18,False,0,Tamanid_1.jpg,0,q,Tamanid_1_14.png,18,correct,q,686,228292.34,228979.04,23,15,14
